TrackStatKey,TrackKey,YT_Views,SC_Plays,SP_Streams,SP_Listeners,SP_Saves,APL_Plays,DateKey
1,5,54,329,NULL,NULL,NULL,NULL,20170419
2,25,57,78,NULL,NULL,NULL,NULL,20170419
3,13,191,54,NULL,NULL,NULL,NULL,20170419
4,28,55,336,NULL,NULL,NULL,NULL,20170419
5,5,50,335,NULL,NULL,NULL,NULL,20170429
6,25,65,103,NULL,NULL,NULL,NULL,20170429
7,13,210,63,NULL,NULL,NULL,NULL,20170429
8,28,63,343,NULL,NULL,NULL,NULL,20170429
9,5,87,352,NULL,NULL,NULL,NULL,20170508
10,25,103,137,NULL,NULL,NULL,NULL,20170508
11,13,274,92,NULL,NULL,NULL,NULL,20170508
12,28,89,363,NULL,NULL,NULL,NULL,20170508
13,5,94,366,NULL,NULL,NULL,NULL,20170514
14,25,107,151,NULL,NULL,NULL,NULL,20170514
15,13,283,106,NULL,NULL,NULL,NULL,20170514
16,28,93,388,NULL,NULL,NULL,NULL,20170514
17,17,171,46,NULL,NULL,NULL,NULL,20170514
18,5,139,470,NULL,NULL,NULL,NULL,20170817
19,25,157,429,NULL,NULL,NULL,NULL,20170817
20,13,359,262,NULL,NULL,NULL,NULL,20170817
21,28,144,509,NULL,NULL,NULL,NULL,20170817
22,17,551,255,NULL,NULL,NULL,NULL,20170817
23,10,89,86,NULL,NULL,NULL,NULL,20170817
24,16,28,4,NULL,NULL,NULL,NULL,20170817
25,5,150,487,NULL,NULL,NULL,NULL,20170920
26,25,175,460,NULL,NULL,NULL,NULL,20170920
27,13,381,301,NULL,NULL,NULL,NULL,20170920
28,28,156,526,NULL,NULL,NULL,NULL,20170920
29,17,606,497,NULL,NULL,NULL,NULL,20170920
30,10,116,141,NULL,NULL,NULL,NULL,20170920
31,16,53,81,NULL,NULL,NULL,NULL,20170920
32,4,81,74,NULL,NULL,NULL,NULL,20170920
33,5,167,516,NULL,NULL,NULL,NULL,20171102
34,25,191,492,NULL,NULL,NULL,NULL,20171102
35,13,400,331,NULL,NULL,NULL,NULL,20171102
36,28,171,556,NULL,NULL,NULL,NULL,20171102
37,17,665,558,NULL,NULL,NULL,NULL,20171102
38,10,131,172,NULL,NULL,NULL,NULL,20171102
39,16,71,106,NULL,NULL,NULL,NULL,20171102
40,4,132,118,NULL,NULL,NULL,NULL,20171102
41,15,60,46,NULL,NULL,NULL,NULL,20171102
42,26,11,2,NULL,NULL,NULL,NULL,20171102
43,5,181,570,NULL,NULL,NULL,NULL,20171202
44,25,200,509,NULL,NULL,NULL,NULL,20171202
45,13,404,352,NULL,NULL,NULL,NULL,20171202
46,28,174,570,NULL,NULL,NULL,NULL,20171202
47,17,691,588,NULL,NULL,NULL,NULL,20171202
48,10,134,180,NULL,NULL,NULL,NULL,20171202
49,16,74,118,48,17,5,NULL,20171202
50,4,142,124,135,38,7,NULL,20171202
51,15,72,56,76,19,6,NULL,20171202
52,26,78,21,22,18,7,NULL,20171202
53,24,8,2,NULL,NULL,NULL,NULL,20171202
54,5,184,549,NULL,NULL,NULL,NULL,20180102
