TrackId,SP_Streams_Total,SP_Listeners_Total,SP_Saves_Total,YT_Views_Total,APL_Plays_Total,SC_Plays_Total
1,252,84,17,199,2,65
2,519,166,31,126,13,73
3,974,233,40,941,37,81
4,1400,782,88,693,148,181
5,NULL,NULL,NULL,494,NULL,615
6,414,111,25,159,2,48
7,NULL,NULL,NULL,NULL,NULL,NULL
8,453,79,20,640,30,37
9,238,107,22,200,10,88
10,NULL,NULL,NULL,198,NULL,247
11,287,78,23,221,3,40
12,431,75,15,43,15,1
13,NULL,NULL,NULL,544,NULL,498
14,315,124,26,242,4,65
15,1300,671,72,176,72,124
16,788,331,40,764,45,168
17,1500,823,101,1600,2247,914
18,433,217,31,124,23,60
19,827,216,40,4000,79,356
20,450,132,31,177,10,30
21,440,101,27,331,4,43
22,355,80,18,604,18,17
23,8900,6000,391,864,1824,245
24,520,201,26,446,15,124
25,406,181,30,343,19,649
26,1700,639,111,532,358,152
27,260,110,20,124,12,74
28,NULL,NULL,NULL,526,NULL,674
29,125,61,13,188,3,69
