SONG,Youtube Views 19 April,SoundCloud Plays 19 April,Instagram Followers 19 April,Facebook,Youtube Views 29 April,SoundCloud Plays 29 April,Instagram Followers 29 April,Facebook 29 April,Marathi Dropped 1st May,Marathi Redropped 7th May (Ban started)
Apprateem,54,329,,,50,335,,,,
Vibe,57,78,,,65,103,,,,
Jinkto,191,54,,,210,63,,,,
Zarka,55,336,,,63,343,,,,
Subcribers/Followers,11,32,455,-,12,32,458,1037,,
SONG,Youtube Views 8 May,SoundCloud Plays 8 May,Instagram Followers 8 May,Facebook 8 May,Youtube Views 14 May,SoundCloud Plays 14 May,Instagram Followers 14 May,Facebook 14 May - Ban lifted ,,
Apprateem,87,352,,,94,366,,,,
Vibe,103,137,,,107,151,,,,
Jinkto,274,92,,,283,106,,,,
Zarka,89,363,,,93,388,,,,
Marathi,-,-,,,171,46,,,,
Subcribers/Followers,24,33,449,3226,24,33,450,5463,,
SONG,Youtube Views 17 AUG,SoundCloud Plays 17 AUG,Instagram Followers 17 AUG,Facebook 17 AUG,Youtube Views 20 SEP,SoundCloud Plays 20 SEP,Instagram Followers 20 SEP,Facebook 20 SEP,,
Apprateem,139,470,,,150,487,,,,
Vibe,157,429,,,175,460,,,,
Jinkto,359,262,,,381,301,,,,
Zarka,144,509,,,156,526,,,,
Marathi,551,255,,,606,497,,,,
Fort$,89,86,,,116,141,,,,
Kaay Hotay,28,4,,,53,81,,,,
"70,00,000",-,-,,,81,74,,,,
Subcribers/Followers,32,39,451,"11,362",36,41,441,11426,,
SONG,Youtube Views 2 Nov,SoundCloud Plays 2 Nov,Instagram Followers 2 Nov,Facebook 2 Nov,Youtube Views 2 Dec,SoundCloud Plays 2 Dec,Spotify- Stream/Listeners/Saves 2 Dec,Insta/FB Followers 2 Dec,,
Apprateem,167,516,,,181,570,-,,,
Vibe,191,492,,,200,509,-,,,
Jinkto,400,331,,,404,352,-,,,
Zarka,171,556,,,174,570,-,,,
Marathi,665,558,,,691,588,-,,,
Fort$,131,172,,,134,180,-,,,
Kaay Hotay,71,106,,,74,118,48/17/5,,,
